City,Country,Lat,Lng,Humidity,Max Temp,Wind Speed,Cloudiness
rikitea,PF,-23.12,-134.97,61,21.04,5.65,59
khatanga,RU,71.98,102.47,47,13.72,4.5,0
xuddur,SO,4.12,43.89,77,23.74,9.9,89
morros,BR,-2.87,-44.04,88,26.0,1.5,0
viedma,AR,-40.81,-62.99,60,4.05,4.54,0
la ronge,CA,55.1,-105.3,37,22.0,6.7,75
puntarenas,CR,9.98,-84.84,94,22.22,1.0,75
nome,US,30.04,-94.42,94,28.33,2.96,1
gigmoto,PH,13.78,124.39,76,28.91,9.68,100
kapaa,US,22.08,-159.32,83,27.0,5.7,90
vaini,IN,15.34,74.49,100,22.0,2.43,75
mazagao,BR,-0.12,-51.29,100,28.0,2.6,20
podporozhye,RU,60.91,34.16,70,11.08,2.31,92
puerto ayora,EC,-0.74,-90.35,95,21.11,0.45,71
punta arenas,CL,-53.16,-70.91,86,1.0,7.2,75
butaritari,KI,3.07,172.79,78,28.02,3.86,100
ushuaia,AR,-54.81,-68.31,59,3.0,5.7,75
vila,IT,45.18,8.4,83,27.78,2.1,20
cape town,ZA,-33.93,18.42,93,13.33,4.6,75
kaitangata,NZ,-46.28,169.85,70,10.56,0.89,98
hilo,US,19.71,-155.08,78,26.0,4.6,90
victoria,BN,5.28,115.24,79,30.0,2.1,75
busselton,AU,-33.64,115.35,71,15.56,5.66,34
hobart,AU,-42.88,147.33,42,17.0,7.7,20
isangel,VU,-19.55,169.27,67,23.7,3.58,36
canmore,CA,51.09,-115.35,45,20.0,4.1,1
gualaceo,EC,-2.89,-78.78,58,14.0,2.6,20
coquimbo,CL,-29.95,-71.34,87,10.0,1.5,0
new norfolk,AU,-42.78,147.06,42,17.22,7.7,20
mbandaka,CD,0.05,18.26,81,24.0,0.64,94
longyearbyen,NO,78.22,15.63,65,7.0,16.5,75
zheleznodorozhnyy,RU,55.75,38.0,82,13.89,2.0,54
douglasville,US,33.75,-84.75,83,29.0,1.94,1
the pas,CA,53.82,-101.24,77,17.0,9.8,90
east london,ZA,-33.02,27.91,51,15.75,6.94,0
bakchar,RU,57.02,82.07,56,17.5,2.94,76
miguel hidalgo,MX,19.41,-99.19,52,18.0,6.7,90
ixtapa,MX,20.71,-105.21,61,28.89,6.2,90
vostok,RU,46.45,135.83,99,12.91,0.81,100
zapresic,HR,45.86,15.81,88,18.0,0.5,61
kailua,US,21.39,-157.74,74,29.44,4.6,20
pitimbu,BR,-7.47,-34.81,100,23.0,1.5,40
yellowknife,CA,62.45,-114.38,40,10.0,8.2,75
uusikaupunki,FI,60.8,21.41,87,16.0,2.6,0
tasiilaq,GL,65.61,-37.64,75,6.0,8.2,90
airai,TL,-8.93,125.41,71,24.37,0.95,99
nizhnevartovsk,RU,60.93,76.58,68,18.0,1.84,0
castro,CL,-42.48,-73.76,93,2.0,1.0,75
kruisfontein,ZA,-34.0,24.73,68,12.74,4.99,95
albany,US,42.65,-73.75,72,20.56,3.1,1
tiksi,RU,71.64,128.87,77,7.0,4.32,80
georgetown,GY,6.8,-58.16,83,27.0,4.1,20
san patricio,PY,-26.98,-56.83,95,13.61,4.57,100
impruneta,IT,43.69,11.25,68,25.0,1.0,0
chokurdakh,RU,70.62,147.9,39,13.47,3.39,4
port hardy,CA,50.7,-127.42,68,19.0,3.6,20
nuuk,GL,64.17,-51.74,80,5.0,3.1,18
old shinyanga,TZ,-3.56,33.41,59,14.73,1.49,0
kavieng,PG,-2.57,150.8,71,28.79,2.76,1
kodiak,US,39.95,-94.76,58,31.0,2.1,1
hermanus,ZA,-34.42,19.24,75,13.89,4.02,100
goderich,CA,43.74,-81.71,85,16.11,0.78,36
lagoa,PT,37.14,-8.45,53,23.0,1.5,0
bluff,AU,-23.58,149.07,36,23.24,5.94,25
pokaran,IN,26.93,71.92,61,30.74,8.62,0
mulchen,CL,-37.72,-72.23,98,1.85,1.26,10
acapulco,MX,16.86,-99.88,66,30.0,1.5,75
atuona,PF,-9.8,-139.03,74,26.88,5.29,83
sur,OM,22.57,59.53,38,34.99,3.14,14
yumen,CN,40.29,97.04,13,31.09,4.41,69
bubaque,GW,11.28,-15.83,86,26.45,5.07,98
belgrade,RS,44.82,20.46,77,20.0,1.5,0
esperance,AU,-33.86,121.89,87,12.0,6.2,75
tuktoyaktuk,CA,69.44,-133.03,70,8.0,4.1,40
mataura,NZ,-46.19,168.86,76,12.22,0.89,58
broome,GB,52.47,1.45,87,15.56,4.6,0
saskylakh,RU,71.97,114.09,76,5.42,6.9,100
lorengau,PG,-2.02,147.27,67,29.28,0.39,84
padang,ID,-0.92,100.36,75,27.41,2.79,1
nador,MA,35.17,-2.93,60,24.0,1.5,0
ancud,CL,-41.87,-73.83,93,2.0,1.0,75
byron bay,AU,-28.65,153.62,93,21.11,3.6,90
qaanaaq,GL,77.48,-69.36,50,9.69,1.89,0
narsaq,GL,60.91,-46.05,66,9.0,1.5,47
lerwick,GB,60.15,-1.15,100,11.0,5.1,100
bredasdorp,ZA,-34.53,20.04,87,13.89,2.6,100
cidreira,BR,-30.17,-50.22,81,14.48,3.6,100
usinsk,RU,66.0,57.56,64,17.54,6.06,97
dikson,RU,73.51,80.55,75,4.44,1.9,99
inirida,CO,3.87,-67.92,99,22.25,0.69,40
luderitz,NA,-26.65,15.16,93,13.0,4.1,7
majene,ID,-3.54,118.97,81,27.05,8.44,5
seoul,KR,37.57,126.98,65,26.0,1.5,40
bethel,US,60.79,-161.76,66,13.0,7.2,90
sao filipe,CV,14.9,-24.5,84,23.11,9.78,0
labuhan,ID,-2.54,115.51,50,31.7,0.9,51
gbadolite,CD,4.28,21.0,94,21.02,1.25,62
tezpur,IN,26.62,92.79,77,29.55,2.53,100
quetta,PK,30.19,67.02,41,27.25,0.75,0
klaksvik,FO,62.23,-6.59,87,7.0,11.3,93
baoying,CN,33.24,119.31,99,33.33,1.65,95
melville,CA,50.93,-102.81,53,22.0,5.7,75
hithadhoo,MV,-0.6,73.08,68,28.96,2.41,68
sept-iles,CA,50.2,-66.38,87,13.0,2.6,20
avarua,CK,-21.21,-159.78,60,23.0,7.2,100
dakar,SN,14.69,-17.45,83,25.0,2.1,86
nikolskoye,RU,59.7,30.79,62,15.56,4.0,40
sarangani,PH,5.4,125.46,76,27.96,2.51,94
pisco,PE,-13.71,-76.2,82,18.0,5.1,90
oromocto,CA,45.85,-66.47,77,16.0,6.2,90
timra,SE,62.49,17.33,93,12.78,2.51,13
arman,RU,59.7,150.17,78,13.68,3.65,100
oistins,BB,13.07,-59.53,74,28.0,10.3,75
rusne,LT,55.3,21.38,73,21.0,9.0,0
bandarbeyla,SO,9.49,50.81,50,28.16,12.46,33
abha,SA,18.22,42.5,56,23.0,0.8,20
vardo,US,39.62,-77.74,56,27.0,1.5,1
castanos,MX,26.78,-101.42,32,30.83,5.21,4
caravelas,BR,-17.73,-39.27,89,22.63,1.02,0
port elizabeth,US,39.31,-74.98,47,26.0,3.6,1
tougan,BF,13.07,-3.07,51,29.4,3.34,0
